source_group,number_of_sources,total
AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AU-VU:EOAS|AuCNLKIN,5,9
AU-AIAS|AU-NAMC|AU-SAUS|AuCNLKIN,4,3
AU-NMUS:CAN|AU-VU:EOAS,2,7
AU-NUN:DAAO|AU-QGU|AuCNLKIN,3,8
AU-QJCU|AuCNLKIN,2,20
AU-QU|AU-QUT|AU-YORCID|AuCNLKIN,4,1
AU-ANU:ADBO|AU-VU|AU-VU:AWR|AuCNLKIN,4,8
AU-AIAS|AU-ANU:ADBO|AU-ANU:OA|AuCNLKIN,4,8
AU-ANU:OA|AU-APAR|AU-APAR:S,3,3
AU-AIAS|AU-APAR|AuCNLKIN,3,12
AU-AIAS|AU-ANU:ADBO|AU-SAUS|AuCNLKIN,4,7
AU-VU|AU-VU:AWR,2,32
AU-ANL:MA|AU-NAMO,2,1
AU-SFU:PDM|AuCNLKIN,2,13
AU-SFU:PDM|AU-YORCID,2,18
AU-ANL:MA|AU-SAUS|AU-VU:AWR|AuCNLKIN,4,2
AU-ANU:OA|AU-APAR:S,2,1
AU-VANDS|AU-VPRO|AU-VU:EOAS|AuCNLKIN,4,7
AU-VDU|AU-YORCID|AuCNLKIN,3,5
AU-SUA|AU-YORCID,2,3
AU-ANL:MA|AU-ANU:ADBO|AU-SAUS|AU-VU|AuCNLKIN,5,1
AU-ANL:MA|AU-NAMC|AU-SAUS|AuCNLKIN,4,8
AU-NUN:DAAO|AU-VU|AuCNLKIN,3,6
AU-NMUS:CAN|AU-VANDS|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,5,1
AU-VU|AU-VU:AWR|AuCNLKIN,3,28
AU-ANU:OA|AU-APAR|AuCNLKIN,3,16
AU-NUN:DAAO|AU-VU,2,3
AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AU-SAUS|AU-VU:AWR|AuCNLKIN,6,2
AU-QGU|AU-VU|AuCNLKIN,3,1
AU-ANU:OA|AU-VU|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,5,2
AU-ANU|AuCNLKIN,2,2
AU-VU:EOAS|AuCNLKIN|OCLC-LC|OCLC-NLA|OCLC-VIAF,5,1
AU-ANU:OA|AU-NUN:DAAO|AU-VU:AWR|AuCNLKIN,4,2
AU-AIAS|AU-ANL:MA|AU-SAUS|AuCNLKIN,4,2
AU-WU|AuCNLKIN,2,8
AU-VDU|AU-YORCID,2,13
AU-NWU|AU-YORCID|AuCNLKIN,3,5
AU-ANU:OA|AU-APAR|AU-SAUS|AU-VU:AWR|AuCNLKIN,5,1
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU:AWR|AU-VU:EOAS,4,2
AU-ANL:AD|AU-ANU:ADBO|AU-SAUS,3,3
AU-ANU:ADBO|AU-NAMC|AuCNLKIN,3,2
AU-ANL:PO|AU-SAUS|AuCNLKIN,3,1
AU-SFU:PDM|AU-VU:EOAS,2,1
AU-AIAS|AU-SAUS|AU-VU:EOAS|AuCNLKIN,4,2
AU-ANL:AD|AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AU-SAUS|AuCNLKIN,6,1
AuCNLKIN|OCLC-NLA|OCLC-VIAF,3,1
AU-NAMO|AU-SAUS|AuCNLKIN,3,7
AU-WU,1,19
AU-QUT|AU-QUT:GP,2,3
AU-QU|AU-YORCID,2,21
AU-QJCU|AU-VU:EOAS|AU-YORCID|AuCNLKIN,4,1
AU-ANU:ADBO|AU-ANU:OA|AU-VU,3,2
AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AU-SAUS|AuCNLKIN,5,4
AU-NUN:DAAO|AU-NUWS|AU-SAUS,3,1
AU-NAMC|AU-SAUS,2,13
AU-NUWS|AU-QPRO|AU-SAUS,3,1
AU-ANU:ADBO|AU-APAR|AU-VU|AuCNLKIN,4,1
AU-ANL:MA|AU-ANU:OA|AU-VU:AWR|AuCNLKIN,4,1
AU-QUT|AuCNLKIN,2,7
AU-ANL:AD|AU-SAUS|AU-VU:AWR,3,2
AU-NAMC|AU-VASD|AuCNLKIN,3,3
AU-APAR|AU-SAUS|AuCNLKIN,3,17
AU-ANU:ADBO|AU-APAR:S|AU-VU:EOAS|AuCNLKIN,4,1
AU-VPRO|AU-VU:EOAS,2,7
AU-ANL:MA|AU-ANU:ADBO|AU-ANU:OA|AU-SAUS|AU-VU:AWR|AuCNLKIN,6,1
AU-NUWS|AU-QPRO,2,1
AU-AIAS|AU-QJCU|AuCNLKIN,3,1
AU-NUN:DAAO|AU-SAUS|AU-VU:AWR|AuCNLKIN,4,2
AU-ANL:MA|AU-ANU:ADBO|AU-SAUS|AuCNLKIN,4,8
AU-NUWS|AU-SAUS|AU-YORCID|AuCNLKIN,4,1
AU-VPRO|AU-VU:AWR,2,3
AU-ANU:ADBO|AuCNLKIN|OCLC-LC|OCLC-NLA|OCLC-VIAF,5,1
AU-AIAS|AU-ANU:ADBO|AU-NUN:DAAO|AU-VU:EOAS|AuCNLKIN,5,2
AU-SAUS|AU-YORCID,2,9
AU-SAUS|AU-YORCID|AuCNLKIN,3,15
AU-VSWT|AU-YORCID,2,10
AU-ANU:OA|AU-VU|AU-VU:AWR|AuCNLKIN,4,1
AU-VDU|AuCNLKIN,2,24
AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO,3,6
AU-ANL:MA|AU-ANU:ADBO|AU-NAMC|AuCNLKIN,4,2
AU-APC:WB|AU-VU:AWR|AuCNLKIN,3,2
AU-AMG|AU-VU:EOAS,2,3
AU-ANU:OA|AU-NUN:DAAO|AU-SAUS,3,1
AU-NUN:DAAO|AU-YORCID|AuCNLKIN,3,3
AU-VAFI|AuCNLKIN,2,1
AU-ANL:AD|AU-ANU:ADBO|AU-SAUS|AuCNLKIN,4,6
AU-ANU:OA|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,4,3
AU-AIAS|AU-ANU:ADBO|AU-NUN:DAAO|AuCNLKIN,4,12
AU-SAUS|AU-VLU|AuCNLKIN,3,1
AU-ANU:ADBO|AU-NWU,2,1
AU-SFU:PDM|AU-YORCID|AuCNLKIN,3,4
AU-ANU:OA|AU-NUN:DAAO|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,5,1
AU-VLU|AU-YORCID,2,2
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU:AWR,3,12
AU-ANL:PO,1,2
AU-NUWS|AU-YORCID|AuCNLKIN,3,5
